tanggal,wilayah,tavg,rh_avg,rr,ff_avg,tavg_imputed,rh_avg_imputed,ff_avg_imputed,rr_imputed,dum_ramadan,dum_idulfitri,dum_natal_newyr,tahun,tavg_flag,rh_avg_flag,ff_avg_flag,imputasi_flag,tavg_final,rh_avg_final,ff_avg_final,kabupaten,kode_wilayah,level_harga,komoditas,harga,harga_imputed
2021-05-10,Kota Bandung,24.8,74.0,0.0,2,24.8,74.0,2,False,0,1,0,2021,False,False,False,False,24.8,74.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-05-11,Kota Bandung,24.3,75.0,0.0,2,24.3,75.0,2,False,0,1,0,2021,False,False,False,False,24.3,75.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-05-12,Kota Bandung,23.8,80.0,0.6,2,23.8,80.0,2,False,0,1,0,2021,False,False,False,False,23.8,80.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-05-13,Kota Bandung,24.1,76.0,0.2,1,24.1,76.0,1,False,0,0,0,2021,False,False,False,False,24.1,76.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,True
2021-05-14,Kota Bandung,23.7,76.0,0.0,1,23.7,76.0,1,False,0,0,0,2021,False,False,False,False,23.7,76.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-05-15,Kota Bandung,23.6,81.0,26.0,1,23.6,81.0,1,False,0,0,0,2021,False,False,False,False,23.6,81.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-05-16,Kota Bandung,24.2,80.0,2.4,0,24.2,80.0,0,False,0,0,0,2021,False,False,False,False,24.2,80.0,0,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,48000.0,True
2021-05-17,Kota Bandung,24.9,81.0,1.9,1,24.9,81.0,1,False,0,0,0,2021,False,False,False,False,24.9,81.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,45000.0,False
2021-05-18,Kota Bandung,23.5,80.0,28.0,1,23.5,80.0,1,False,0,0,0,2021,False,False,False,False,23.5,80.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,45000.0,False
2021-05-19,Kota Bandung,24.1,78.0,0.0,1,24.1,78.0,1,False,0,0,0,2021,False,False,False,False,24.1,78.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-20,Kota Bandung,23.7,78.0,0.0,1,23.7,78.0,1,False,0,0,0,2021,False,False,False,False,23.7,78.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-21,Kota Bandung,24.4,82.0,0.0,1,24.4,82.0,1,False,0,0,0,2021,False,False,False,False,24.4,82.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-22,Kota Bandung,24.1,81.0,30.7,1,24.1,81.0,1,False,0,0,0,2021,False,False,False,False,24.1,81.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-23,Kota Bandung,24.0,80.0,12.4,1,24.0,80.0,1,False,0,0,0,2021,False,False,False,False,24.0,80.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-24,Kota Bandung,24.8,79.0,0.0,1,24.8,79.0,1,False,0,0,0,2021,False,False,False,False,24.8,79.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-25,Kota Bandung,23.9,83.0,76.8,1,23.9,83.0,1,False,0,0,0,2021,False,False,False,False,23.9,83.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-26,Kota Bandung,23.5,77.0,0.5,2,23.5,77.0,2,False,0,0,0,2021,False,False,False,False,23.5,77.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,38000.0,False
2021-05-27,Kota Bandung,24.1,79.0,0.0,1,24.1,79.0,1,False,0,0,0,2021,False,False,False,False,24.1,79.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,38000.0,False
2021-05-28,Kota Bandung,23.7,74.0,0.0,1,23.7,74.0,1,False,0,0,0,2021,False,False,False,False,23.7,74.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,38000.0,False
2021-05-29,Kota Bandung,23.0,88.0,0.0,1,23.0,88.0,1,False,0,0,0,2021,False,False,False,False,23.0,88.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-30,Kota Bandung,24.5,80.0,35.2,1,24.5,80.0,1,False,0,0,0,2021,False,False,False,False,24.5,80.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-05-31,Kota Bandung,24.2,85.0,0.0,1,24.2,85.0,1,False,0,0,0,2021,False,False,False,False,24.2,85.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-01,Kota Bandung,24.4,82.0,2.0,2,24.4,82.0,2,False,0,0,0,2021,False,False,False,False,24.4,82.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-02,Kota Bandung,23.9,82.0,1.6,1,23.9,82.0,1,False,0,0,0,2021,False,False,False,False,23.9,82.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-03,Kota Bandung,24.7,79.0,0.0,1,24.7,79.0,1,False,0,0,0,2021,False,False,False,False,24.7,79.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-04,Kota Bandung,25.0,78.0,0.0,1,25.0,78.0,1,False,0,0,0,2021,False,False,False,False,25.0,78.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-05,Kota Bandung,24.0,72.0,0.3,2,24.0,72.0,2,False,0,0,0,2021,False,False,False,False,24.0,72.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-06,Kota Bandung,24.3,76.0,0.0,2,24.3,76.0,2,False,0,0,0,2021,False,False,False,False,24.3,76.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-07,Kota Bandung,24.3,70.0,0.4,1,24.3,70.0,1,False,0,0,0,2021,False,False,False,False,24.3,70.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-08,Kota Bandung,24.5,72.0,0.0,1,24.5,72.0,1,False,0,0,0,2021,False,False,False,False,24.5,72.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-09,Kota Bandung,24.7,76.0,0.0,1,24.7,76.0,1,False,0,0,0,2021,False,False,False,False,24.7,76.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-10,Kota Bandung,24.6,78.0,0.0,1,24.6,78.0,1,False,0,0,0,2021,False,False,False,False,24.6,78.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-11,Kota Bandung,23.6,82.0,2.5,2,23.6,82.0,2,False,0,0,0,2021,False,False,False,False,23.6,82.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-12,Kota Bandung,24.2,80.0,31.6,0,24.2,80.0,0,False,0,0,0,2021,False,False,False,False,24.2,80.0,0,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-13,Kota Bandung,24.6,78.0,0.0,1,24.6,78.0,1,False,0,0,0,2021,False,False,False,False,24.6,78.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-14,Kota Bandung,23.4,77.0,0.0,1,23.4,77.0,1,False,0,0,0,2021,False,False,False,False,23.4,77.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-15,Kota Bandung,22.7,82.0,0.0,0,22.7,82.0,0,False,0,0,0,2021,False,False,False,False,22.7,82.0,0,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,32000.0,False
2021-06-16,Kota Bandung,22.7,85.0,0.0,2,22.7,85.0,2,False,0,0,0,2021,False,False,False,False,22.7,85.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,32000.0,False
2021-06-17,Kota Bandung,23.5,78.0,0.2,1,23.5,78.0,1,False,0,0,0,2021,False,False,False,False,23.5,78.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,32000.0,False
2021-06-18,Kota Bandung,23.3,82.0,0.0,1,23.3,82.0,1,False,0,0,0,2021,False,False,False,False,23.3,82.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-19,Kota Bandung,22.6,86.0,1.2,1,22.6,86.0,1,False,0,0,0,2021,False,False,False,False,22.6,86.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,30000.0,False
2021-06-20,Kota Bandung,21.8,87.0,11.2,1,21.8,87.0,1,False,0,0,0,2021,False,False,False,False,21.8,87.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,35000.0,False
2021-06-21,Kota Bandung,21.7,84.0,19.7,1,21.7,84.0,1,False,0,0,0,2021,False,False,False,False,21.7,84.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-06-22,Kota Bandung,22.6,80.0,14.6,0,22.6,80.0,0,False,0,0,0,2021,False,False,False,False,22.6,80.0,0,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-06-23,Kota Bandung,23.1,86.0,1.0,1,23.1,86.0,1,False,0,0,0,2021,False,False,False,False,23.1,86.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-06-24,Kota Bandung,22.9,86.0,2.2,1,22.9,86.0,1,False,0,0,0,2021,False,False,False,False,22.9,86.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-06-25,Kota Bandung,23.5,81.0,0.0,1,23.5,81.0,1,False,0,0,0,2021,False,False,False,False,23.5,81.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
